npc_dota_badguys_siege	models/creeps/lane_creeps/creep_bad_siege/creep_bad_siege.vmdl_c
npc_dota_badguys_siege_upgraded_mega	models/creeps/lane_creeps/creep_bad_siege/creep_bad_siege.vmdl_c
npc_dota_badguys_siege_upgraded	models/creeps/lane_creeps/creep_bad_siege/creep_bad_siege.vmdl_c
npc_dota_chen_zealot	models/creeps/lane_creeps/creep_radiant_melee/radiant_melee_mega.vmdl_c
npc_dota_creep_badguys_flagbearer	models/creeps/lane_creeps/creep_bad_melee/creep_bad_flagbearer.vmdl_c
npc_dota_creep_badguys_flagbearer_upgraded_mega	models/creeps/lane_creeps/creep_bad_melee/creep_bad_flagbearer_mega.vmdl_c
npc_dota_creep_badguys_flagbearer_upgraded	models/creeps/lane_creeps/creep_bad_melee/creep_bad_flagbearer.vmdl_c
npc_dota_creep_badguys_melee	models/creeps/lane_creeps/creep_bad_melee/creep_bad_melee.vmdl_c
npc_dota_creep_badguys_melee_upgraded_mega	models/creeps/lane_creeps/creep_bad_melee/creep_bad_melee_mega.vmdl_c
npc_dota_creep_badguys_melee_upgraded	models/creeps/lane_creeps/creep_bad_melee/creep_bad_melee.vmdl_c
npc_dota_creep_badguys_ranged	models/creeps/lane_creeps/creep_bad_ranged/lane_dire_ranged.vmdl_c
npc_dota_creep_badguys_ranged_upgraded_mega	models/creeps/lane_creeps/creep_bad_ranged/lane_dire_ranged_mega.vmdl_c
npc_dota_creep_badguys_ranged_upgraded	models/creeps/lane_creeps/creep_bad_ranged/lane_dire_ranged.vmdl_c
npc_dota_creep_goodguys_flagbearer	models/creeps/lane_creeps/creep_radiant_melee/radiant_flagbearer.vmdl_c
npc_dota_creep_goodguys_flagbearer_upgraded_mega	models/creeps/lane_creeps/creep_radiant_melee/radiant_flagbearer_mega.vmdl_c
npc_dota_creep_goodguys_flagbearer_upgraded	models/creeps/lane_creeps/creep_radiant_melee/radiant_flagbearer.vmdl_c
npc_dota_creep_goodguys_melee	models/creeps/lane_creeps/creep_radiant_melee/radiant_melee.vmdl_c
npc_dota_creep_goodguys_melee_upgraded_mega	models/creeps/lane_creeps/creep_radiant_melee/radiant_melee_mega.vmdl_c
npc_dota_creep_goodguys_melee_upgraded	models/creeps/lane_creeps/creep_radiant_melee/radiant_melee.vmdl_c
npc_dota_creep_goodguys_ranged	models/creeps/lane_creeps/creep_radiant_ranged/radiant_ranged.vmdl_c
npc_dota_creep_goodguys_ranged_upgraded_mega	models/creeps/lane_creeps/creep_radiant_ranged/radiant_ranged_mega.vmdl_c
npc_dota_creep_goodguys_ranged_upgraded	models/creeps/lane_creeps/creep_radiant_ranged/radiant_ranged.vmdl_c
npc_dota_dark_troll_warlord_skeleton_warrior	models/creeps/neutral_creeps/n_creep_troll_skeleton/n_creep_skeleton_melee.vmdl_c
npc_dota_goodguys_siege	models/creeps/lane_creeps/creep_good_siege/creep_good_siege.vmdl_c
npc_dota_goodguys_siege_upgraded_mega	models/creeps/lane_creeps/creep_good_siege/creep_good_siege.vmdl_c
npc_dota_goodguys_siege_upgraded	models/creeps/lane_creeps/creep_good_siege/creep_good_siege.vmdl_c
npc_dota_healing_campfire	models/props_debris/creep_camp002a.vmdl_c
npc_dota_loot_greevil	models/creeps/greevil_shopkeeper/greevil_shopkeeper.vmdl_c
npc_dota_mutation_pocket_roshan	models/creeps/roshan/roshan.vmdl_c
npc_dota_necronomicon_archer_1	models/creeps/item_creeps/i_creep_necro_archer/necro_archer.vmdl_c
npc_dota_necronomicon_warrior_1	models/creeps/item_creeps/i_creep_necro_warrior/necro_warrior.vmdl_c
npc_dota_neutral_alpha_wolf	models/creeps/neutral_creeps/n_creep_worg_large/n_creep_worg_large.vmdl_c
npc_dota_neutral_ancient_frog_mage	models/creeps/neutral_creeps/n_creep_ancient_frog/n_creep_ancient_frog_mage.vmdl_c
npc_dota_neutral_ancient_frog	models/creeps/neutral_creeps/n_creep_ancient_frog/n_creep_ancient_frog.vmdl_c
npc_dota_neutral_big_thunder_lizard	models/creeps/neutral_creeps/n_creep_thunder_lizard/n_creep_thunder_lizard_big.vmdl_c
npc_dota_neutral_black_dragon	models/creeps/neutral_creeps/n_creep_black_dragon/n_creep_black_dragon.vmdl_c
npc_dota_neutral_black_drake	models/creeps/neutral_creeps/n_creep_black_drake/n_creep_black_drake.vmdl_c
